timestamp,device_id,user_id,heart_rate_bpm,body_temp_celsius,blood_oxygen_level,respiration_rate,activity_level,step_count,sleep_duration_min,sleep_quality_index,device_battery_level,environment_temp_celsius,noise_level_db,location_type,is_synced_to_cloud,data_flag,activity_label
01-07-2025 00:00,DEV018,USR_165,76.96714153,36.73086785,98.14768854,20.56908957,4,5,0,0,88,28.2,72.5,Moving,FALSE,FALSE,Walk
01-07-2025 00:01,DEV017,USR_218,69.65863043,36.56526281,98.04256004,14.60974692,3,36,0,0,57.2,25.3,47.5,Indoor,TRUE,FALSE,Descend_Stairs
01-07-2025 00:02,DEV001,USR_286,61.8716888,36.95712367,96.59197592,11.7630889,9,22,0,0,56.3,28.1,32.8,Indoor,TRUE,FALSE,Sleep
01-07-2025 00:03,DEV011,USR_296,69.742237,36.22450321,97.87569802,14.19808393,4,115,0,0,49.6,20.1,59.7,Outdoor,TRUE,FALSE,Climb_Stairs
01-07-2025 00:04,DEV017,USR_158,80.22544912,36.18957818,97.7088636,10.12098963,1,349,378.8,0.94,90.5,28.2,85.3,Indoor,TRUE,FALSE,Fall
01-07-2025 00:05,DEV009,USR_131,73.96861236,36.74217586,97.1988963,11.56443403,2,176,190.5,0.28,58.8,20.4,78.1,Indoor,TRUE,FALSE,Climb_Stairs
01-07-2025 00:06,DEV011,USR_247,65.23078,37.10583814,98.53099952,18.79384036,2,198,310.5,0.33,15.7,23.3,49.5,Outdoor,TRUE,FALSE,Climb_Stairs
01-07-2025 00:07,DEV011,USR_263,68.90787624,37.20626291,98.85624003,15.78396964,8,12,0,0,74.2,30.9,63.7,Outdoor,TRUE,FALSE,Descend_Stairs
01-07-2025 00:08,DEV018,USR_261,71.64173961,37.58232183,94.8802549,18.46570751,5,37,0,0,55.8,33.4,45,Outdoor,TRUE,FALSE,Descend_Stairs
01-07-2025 00:09,DEV019,USR_122,69.0099265,37.53894702,96.98172978,13.57451919,3,265,0,0,82.7,28.8,82.3,Indoor,FALSE,FALSE,Walk
01-07-2025 00:10,DEV017,USR_122,66.70239796,37.05663372,97.59707755,18.90593497,2,25,222.2,0.82,87.5,18.1,60.6,Indoor,FALSE,FALSE,Run
01-07-2025 00:11,DEV017,USR_208,68.72337853,36.09231463,97.07935468,14.97185645,2,286,175.4,0.52,73.3,24.2,88.3,Outdoor,FALSE,FALSE,Sit
01-07-2025 00:12,DEV017,USR_256,52.81228785,36.78674306,97.56023021,23.38972634,4,15,0,0,54.1,34.8,44.5,Moving,TRUE,FALSE,Workout
01-07-2025 00:13,DEV016,USR_248,75.01547342,37.37141141,98.25193303,18.37309584,2,45,314.5,0.63,58.2,19.5,80.1,Moving,FALSE,FALSE,Fall
01-07-2025 00:14,DEV019,USR_109,62.09463675,36.51685114,97.59965137,14.48957304,0,103,108.5,0.69,44.8,33.9,38.3,Outdoor,TRUE,FALSE,Climb_Stairs
01-07-2025 00:15,DEV020,USR_181,72.68562975,36.40837335,97.17793848,18.44055165,1,169,279.8,0.53,31.8,19.6,83.8,Indoor,TRUE,FALSE,Workout
01-07-2025 00:16,DEV018,USR_121,74.59882794,37.19091144,96.26304929,12.03863016,6,218,0,0,80.2,28.9,35,Outdoor,FALSE,FALSE,Sit
01-07-2025 00:17,DEV009,USR_266,74.96984673,36.94653624,96.78564858,21.59732353,6,105,0,0,30.2,30.1,44.2,Outdoor,TRUE,FALSE,Sit
01-07-2025 00:18,DEV014,USR_270,83.58595579,36.38965884,98.46337613,17.23834278,7,9,0,0,43.1,22.5,44.6,Outdoor,TRUE,FALSE,Fall
01-07-2025 00:19,DEV014,USR_264,90.96792983,36.76144915,97.84115197,16.8300724,7,158,0,0,55.2,27.8,59.6,Moving,TRUE,FALSE,Run
01-07-2025 00:20,DEV009,USR_272,78.25667348,36.37142122,96.4291075,17.44741725,4,1,0,0,93.5,25.3,88,Indoor,FALSE,TRUE,Walk
01-07-2025 00:21,DEV011,USR_127,79.14000494,36.37660314,95.98515278,14.66045514,7,18,0,0,60.1,33.9,71.8,Outdoor,TRUE,FALSE,Climb_Stairs
01-07-2025 00:22,DEV012,USR_229,63.16142564,36.87686255,97.55820872,12.57108911,6,119,0,0,73.2,24.1,47.6,Moving,FALSE,FALSE,Fall
01-07-2025 00:23,DEV016,USR_135,77.60784526,37.05751763,98.01378595,17.54514306,10,160,0,0,68.5,29.9,77.7,Indoor,FALSE,FALSE,Sit
01-07-2025 00:24,DEV011,USR_115,68.84730755,37.17948461,96.72717479,15.28954418,3,62,0,0,58.8,22.9,65.4,Moving,FALSE,FALSE,Eat
01-07-2025 00:25,DEV008,USR_241,72.81874139,36.56403407,98.5889506,16.19284006,1,146,127.1,0.62,17.7,18.9,61.9,Indoor,FALSE,FALSE,Walk
01-07-2025 00:26,DEV013,USR_205,93.43944089,37.11695951,95.47485741,16.55936294,3,57,0,0,17.1,18.4,87.8,Outdoor,FALSE,FALSE,Climb_Stairs
01-07-2025 00:27,DEV014,USR_116,80.52433335,37.05249364,98.36575519,12.39911078,3,17,0,0,32.5,27.3,72.9,Outdoor,FALSE,FALSE,Climb_Stairs
01-07-2025 00:28,DEV020,USR_250,59.39116046,37.25893097,99.6221562,19.09739578,0,44,371,0.01,20.4,18.8,32.4,Outdoor,FALSE,TRUE,Eat
01-07-2025 00:29,DEV020,USR_116,67.15765927,37.02190971,98.27463405,13.21920859,4,67,0,0,52.6,20.9,56,Moving,FALSE,FALSE,Workout
01-07-2025 00:30,DEV004,USR_158,88.32411304,36.08492931,97.05995551,16.39222173,9,69,0,0,87.1,29.2,39.8,Outdoor,TRUE,FALSE,Run
01-07-2025 00:31,DEV001,USR_197,57.64137849,36.89952985,96.89978312,16.20940625,3,281,0,0,61.8,24.6,68.6,Outdoor,TRUE,TRUE,Workout
01-07-2025 00:32,DEV012,USR_152,93.33033375,35.8239561,97.3482149,17.76495162,5,7,0,0,38.7,32.4,31.4,Indoor,TRUE,FALSE,Sleep
01-07-2025 00:33,DEV014,USR_199,65.7730048,36.50531762,98.3496021,17.07104646,2,99,424.9,0.74,82.3,22.8,40.6,Outdoor,FALSE,FALSE,Climb_Stairs
01-07-2025 00:34,DEV009,USR_105,79.47293605,37.10518513,97.47909841,16.35198215,8,41,0,0,93.8,32.6,55.7,Indoor,FALSE,FALSE,Descend_Stairs
01-07-2025 00:35,DEV013,USR_109,66.08428611,37.21270817,98.31350964,19.91643642,5,38,0,0,90.6,24.6,30.7,Indoor,FALSE,FALSE,Sit
01-07-2025 00:36,DEV008,USR_180,75.24166352,36.73492847,97.59699596,17.78547108,2,34,177.9,0.67,77.7,31.5,77.4,Outdoor,TRUE,FALSE,Sleep
01-07-2025 00:37,DEV013,USR_230,92.92387276,36.79387661,96.60274563,16.22741367,2,58,429.5,0.35,20.5,20.4,75.7,Indoor,FALSE,FALSE,Climb_Stairs
01-07-2025 00:38,DEV019,USR_276,63.77779604,36.92184361,97.74496657,14.47917047,3,8,0,0,98.8,24.4,52.2,Indoor,FALSE,FALSE,Walk
01-07-2025 00:39,DEV005,USR_113,74.32049937,36.44077789,97.28655285,16.9327227,9,55,0,0,91.6,19.9,59.6,Moving,TRUE,FALSE,Walk
01-07-2025 00:40,DEV003,USR_201,71.81486864,36.65567068,97.82271856,13.51830717,6,327,0,0,43.7,22.9,82.1,Moving,TRUE,FALSE,Walk
01-07-2025 00:41,DEV005,USR_269,87.32738913,36.91204624,97.5125924,16.2930283,2,348,265.4,0.63,72.6,25.7,67.7,Indoor,FALSE,FALSE,Walk
01-07-2025 00:42,DEV005,USR_189,80.72320637,36.891671,99.68980293,13.57510514,2,62,189,0.58,17,34.6,89.2,Moving,TRUE,FALSE,Run
01-07-2025 00:43,DEV015,USR_130,66.00607355,36.97087799,99.37617084,18.85127151,3,115,0,0,24.6,33.5,79.4,Outdoor,FALSE,FALSE,Climb_Stairs
01-07-2025 00:44,DEV007,USR_107,58.79766793,37.71572938,98.67944012,14.59247304,0,350,409,0.84,52.2,25.1,46.4,Outdoor,TRUE,FALSE,Eat
01-07-2025 00:45,DEV012,USR_245,85.53872374,36.80262185,97.54698059,14.64980359,6,59,0,0,21.6,34.2,66.4,Moving,FALSE,FALSE,Climb_Stairs
01-07-2025 00:46,DEV001,USR_285,79.11614878,36.23767895,95.96588583,19.83303047,5,73,0,0,79.5,26.8,81.1,Moving,TRUE,FALSE,Idle
01-07-2025 00:47,DEV001,USR_292,64.51513463,37.83037396,99.25534084,15.25310755,7,14,0,0,12.6,30.8,67.2,Outdoor,FALSE,FALSE,Idle
01-07-2025 00:48,DEV013,USR_226,62.35076539,37.14302573,98.55842449,10.72378154,1,234,186.7,0.51,80.5,24.7,67.3,Moving,TRUE,FALSE,Eat
01-07-2025 00:49,DEV013,USR_249,51.60767822,35.94830878,97.4444523,17.15219635,4,67,0,0,39.6,28.8,44.4,Indoor,FALSE,FALSE,Eat
01-07-2025 00:50,DEV020,USR_264,75.66598246,36.33006011,96.98613308,12.82235943,4,110,0,0,25.5,21.3,32.5,Moving,TRUE,FALSE,Idle
01-07-2025 00:51,DEV012,USR_220,81.55142321,36.53487119,96.70712717,15.67890892,1,23,193.9,0.5,72.1,18.7,78,Outdoor,FALSE,FALSE,Walk
01-07-2025 00:52,DEV016,USR_102,65.00274492,36.90698996,97.38767195,15.3370912,6,20,0,0,28.8,24.3,59.1,Indoor,FALSE,FALSE,Descend_Stairs
01-07-2025 00:53,DEV002,USR_264,79.5750771,36.04240447,98.86687427,20.93490314,4,3,0,0,32.7,30.1,83.7,Indoor,FALSE,TRUE,Walk
01-07-2025 00:54,DEV010,USR_262,102.7888081,37.35978746,97.37208241,13.13337868,0,31,199.8,0.02,39,21.6,49.6,Indoor,TRUE,FALSE,Workout
01-07-2025 00:55,DEV013,USR_155,74.03463636,37.64357082,98.38163976,15.97608208,9,9,0,0,58.3,28,74.7,Outdoor,FALSE,FALSE,Climb_Stairs
01-07-2025 00:56,DEV014,USR_272,61.62753846,36.70483066,96.62438175,11.85160081,7,44,0,0,98.8,28.3,44.2,Moving,TRUE,FALSE,Sit
01-07-2025 00:57,DEV018,USR_269,91.0941664,36.47467872,97.01287462,14.22281823,2,19,433.5,0.08,57.2,25,88.9,Moving,TRUE,FALSE,Climb_Stairs
01-07-2025 00:58,DEV015,USR_151,69.61051953,36.34621817,96.92322867,18.26617368,6,265,0,0,60.1,27.7,46.8,Moving,FALSE,FALSE,Idle
01-07-2025 00:59,DEV006,USR_230,62.22444755,36.46868812,98.07059867,13.71022253,0,70,139.1,0.11,65,22.9,64.9,Moving,FALSE,FALSE,Sleep
01-07-2025 01:00,DEV003,USR_285,71.33920201,36.1944919,96.84816389,16.14219601,2,6,475.5,0.32,82.9,22.3,70.9,Indoor,TRUE,FALSE,Workout
01-07-2025 01:01,DEV002,USR_115,68.15444456,37.06490209,98.94156862,10,2,42,448.3,0.83,96.9,20.1,73.9,Moving,FALSE,FALSE,Workout
01-07-2025 01:02,DEV017,USR_295,72.86589787,36.72216138,98.66778206,16.76326253,6,22,0,0,24.7,20.8,78.9,Moving,FALSE,FALSE,Climb_Stairs
01-07-2025 01:03,DEV016,USR_107,67.88123034,36.94488743,99.5754008,18.61337411,4,49,0,0,83.5,25.5,52.6,Indoor,FALSE,FALSE,Walk
01-07-2025 01:04,DEV005,USR_241,53.29208079,36.62424326,97.51841838,21.02931194,5,48,0,0,58.9,33.4,67.5,Indoor,TRUE,FALSE,Walk
01-07-2025 01:05,DEV017,USR_141,69.80899471,36.06070688,98.64375404,17.01548922,3,96,0,0,58,33.2,77.3,Indoor,FALSE,FALSE,Eat
01-07-2025 01:06,DEV018,USR_221,67.406391,36.37507782,98.33033582,13.43174852,5,143,0,0,88.9,23.8,79.3,Indoor,TRUE,FALSE,Sleep
01-07-2025 01:07,DEV012,USR_204,67.22342553,36.66506253,96.52123628,14.66712022,6,26,0,0,75,30.2,68.5,Moving,TRUE,FALSE,Workout
01-07-2025 01:08,DEV016,USR_191,76.13434903,37.73839791,96.7262108,12.26603589,0,61,456.3,0.15,62.8,26.6,66.7,Moving,FALSE,FALSE,Descend_Stairs
01-07-2025 01:09,DEV004,USR_274,86.96044311,36.8546974,98.22576662,17.4430277,5,122,0,0,23.7,27.8,66.4,Outdoor,FALSE,FALSE,Idle
